"axis","pathway_name","n_lr_pairs","mean_score_control","mean_score_apap","mean_delta","max_delta"
"Kupffer cell -> Neutrophil","MHC-I",17,0.0301437598689461,0.0849997954304857,0.0548560355615397,0.209422421586822
"Activated neutrophil -> Endothelial","ApoA",1,0.189444901077878,0.134934860313006,-0.0545100407648713,-0.0545100407648713
"Kupffer cell -> Endothelial","CypA",1,1.23703128771986,1.29122352772175,0.0541922400018884,0.0541922400018884
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","THBS",13,0.195207532716105,0.141377886601722,-0.0538296461143831,0.0167355702699851
"Fibroblast / stellate -> Kupffer cell","HSPG",1,0.0458209372140207,0.0987118308825963,0.0528908936685757,0.0528908936685757
"Fibroblast / stellate -> Kupffer cell","GALECTIN",5,0.396548323387812,0.449377143679269,0.0528288202914571,0.0924236567480938
"Kupffer cell -> Neutrophil","FN1",1,0.10088034676764,0.048303362027051,-0.0525769847405889,-0.0525769847405889
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","CD52",1,0.162517470821021,0.110378032517229,-0.0521394383037924,-0.0521394383037924
"Inflammatory neutrophil -> Endothelial","LIGHT",1,0.103567831209149,0.0522325482832915,-0.0513352829258578,-0.0513352829258578
"Inflammatory neutrophil -> Endothelial","CDH5",1,0.0783459979516181,0.0277201266522375,-0.0506258712993806,-0.0506258712993806
"Neutrophil -> Endothelial","ANNEXIN",2,0.0590961193524961,0.108926597108662,0.0498304777561654,0.0888480366441835
"Fibroblast / stellate -> Endothelial","JAM",4,0.190706768218592,0.141436644910278,-0.0492701233083132,-0.0305171683629595
"Monocyte-derived macrophage / DC-like -> T cell","CCL",13,0.190664962112711,0.141727458739765,-0.0489375033729462,0.0523657300662375
"Fibroblast / stellate -> Endothelial","SPP1",1,0.0797040515026595,0.128105200295997,0.0484011487933374,0.0484011487933374
"Kupffer cell -> Neutrophil","CXCL",9,0.0879320700991845,0.136023756834953,0.0480916867357683,0.518975023766468
"Kupffer cell -> Neutrophil","BST2",1,0.0848541542464615,0.0370769085290103,-0.0477772457174512,-0.0477772457174512
"Activated neutrophil -> Endothelial","GAS",1,0.0794888695470848,0.0317317830539184,-0.0477570864931664,-0.0477570864931664
"Monocyte-derived macrophage / DC-like -> T cell","CD86",2,0.06331236799316,0.110960178358298,0.0476478103651384,0.0841567052632068
"Monocyte-derived macrophage / DC-like -> NK cell","ApoA",1,0.103234707786571,0.0567130063543928,-0.0465217014321782,-0.0465217014321782
"Monocyte-derived macrophage / DC-like -> NK cell","FN1",2,0.173007661250724,0.127157116463174,-0.0458505447875497,-0.0181917886524496
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","PROS",2,0.193736541463554,0.147947324973324,-0.0457892164902308,-0.0243299841534481
"Fibroblast / stellate -> Endothelial","IGF",1,0.12274674350703,0.168276813297792,0.0455300697907624,0.0455300697907624
"Monocyte-derived macrophage / DC-like -> T cell","CD45",2,0.0829268119746337,0.0375729627517626,-0.0453538492228711,-0.0257618312863207
"Activated neutrophil -> Endothelial","SPP1",1,0.0428001974361929,0.0880929463707482,0.0452927489345553,0.0452927489345553
"Monocyte-derived macrophage / DC-like -> T cell","IL16",1,0.0828972403371558,0.0378639531297051,-0.0450332872074506,-0.0450332872074506
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","IGF",1,0.017592879113758,0.0624498494950093,0.0448569703812513,0.0448569703812513
"Kupffer cell -> Inflammatory neutrophil","ApoA",1,0.0792341377366904,0.0344127763738417,-0.0448213613628486,-0.0448213613628486
"Fibroblast / stellate -> Endothelial","ADGRA",1,0.133990954260249,0.0898371960891617,-0.0441537581710873,-0.0441537581710873
"Monocyte-derived macrophage / DC-like -> NK cell","MHC-II",8,0.106176799721522,0.062046728659954,-0.0441300710615681,-0.00760828312352629
"Kupffer cell -> Endothelial","GDF",1,0.138107039477549,0.0941046518452148,-0.0440023876323344,-0.0440023876323344
"Kupffer cell -> Inflammatory neutrophil","ADGRE",5,0.172244796906194,0.128789482002273,-0.0434553149039209,0.057700311124495
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","GAS",2,0.649465847641108,0.606093581313965,-0.0433722663271432,-0.0245438626325137
"Fibroblast / stellate -> Endothelial","CD45",2,0.34616946301529,0.389476085422612,0.0433066224073226,0.0745570637285192
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","LAMININ",14,0.164883806236554,0.207473651848827,0.0425898456122725,0.222327043155781
"Kupffer cell -> Endothelial","PECAM1",1,0.648804807672612,0.691283482428234,0.0424786747556224,0.0424786747556224
"Kupffer cell -> Inflammatory neutrophil","CypA",1,0.455163459826551,0.412718898361939,-0.0424445614646117,-0.0424445614646117
"Fibroblast / stellate -> Endothelial","MK",5,0.115572394839617,0.157924631367136,0.0423522365275184,0.197066602484766
"Inflammatory neutrophil -> Endothelial","PECAM2",1,0.0947239130441102,0.0527730216385925,-0.0419508914055176,-0.0419508914055176
"Kupffer cell -> Neutrophil","ANGPTL",1,0.0678494603068983,0.0260798984507329,-0.0417695618561655,-0.0417695618561655
"Fibroblast / stellate -> Endothelial","ANGPT",1,0.0656227117241767,0.0238946162621703,-0.0417280954620064,-0.0417280954620064
"Kupffer cell -> Neutrophil","ApoA",1,0.0619243571608776,0.0202404302443931,-0.0416839269164846,-0.0416839269164846
"Inflammatory neutrophil -> Endothelial","SELPLG",3,0.344212364938945,0.385840136207803,0.0416277712688581,0.153849338105689
"Neutrophil -> Endothelial","KLK",2,0.0790787413954916,0.037766011877301,-0.0413127295181906,0.019279192379038
"Fibroblast / stellate -> Endothelial","EDN",1,0.105726539090719,0.0650699564999838,-0.0406565825907352,-0.0406565825907352
"Inflammatory neutrophil -> Endothelial","GAS",1,0.0949615729514916,0.0547428525062164,-0.0402187204452753,-0.0402187204452753
"Fibroblast / stellate -> Endothelial","SELPLG",2,0.052586839202346,0.0921841254730132,0.0395972862706672,0.0409036324272073
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","GALECTIN",5,0.423405544137727,0.462974696341403,0.0395691522036768,0.0973634634781195
"Monocyte-derived macrophage / DC-like -> T cell","ADGRE",3,0.0809217303886236,0.0415678984896208,-0.0393538318990028,-0.0091440427085532
"Kupffer cell -> Inflammatory neutrophil","ApoB",1,0.0554241431726798,0.0164866922258672,-0.0389374509468127,-0.0389374509468127
"Activated neutrophil -> Endothelial","GALECTIN",4,0.264886984182961,0.22631230458331,-0.0385746795996515,0.0354351070848438
"Monocyte-derived macrophage / DC-like -> NK cell","ADGRE",5,0.0706296325723645,0.0320730453701294,-0.0385565872022351,-0.00913973932002802
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","HSPG",1,0.0241856132160182,0.0621746609683059,0.0379890477522877,0.0379890477522877
"Neutrophil -> Endothelial","JAM",3,0.0491489076277248,0.0112060605543408,-0.037942847073384,-0.0217681222530411
"Kupffer cell -> Endothelial","TNF",1,0.110645528043384,0.0727949870417678,-0.0378505410016164,-0.0378505410016164
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","JAM",3,0.0809857844074716,0.0435195664635124,-0.0374662179439592,-0.0318598248145794
"Fibroblast / stellate -> Kupffer cell","IGFBP",1,0.394526071101383,0.431542789921473,0.0370167188200897,0.0370167188200897
"Monocyte-derived macrophage / DC-like -> NK cell","APP",3,0.598607871066696,0.635315888608607,0.0367080175419106,0.0705799383800349
"Kupffer cell -> Neutrophil","THBS",2,0.010014664622279,0.0465195291111247,0.0365048644888457,0.0621488663160556
"Kupffer cell -> Endothelial","THBS",5,0.0143349269309719,0.0508146592196933,0.0364797322887215,0.100928279760481
"Fibroblast / stellate -> Kupffer cell","SIRP",3,0.0111967577389038,0.0476229586221556,0.0364262008832518,0.0508253163983356
"Activated neutrophil -> Endothelial","CDH5",1,0.0136672236083891,0.0497709049230012,0.0361036813146121,0.0361036813146121
"Fibroblast / stellate -> Kupffer cell","CHEMERIN",1,0.492099137921369,0.528013677383231,0.0359145394618621,0.0359145394618621
"Activated neutrophil -> Endothelial","VEGF",3,0.13706697751211,0.101235177914388,-0.0358317995977218,0.00547168042931875
"Kupffer cell -> Neutrophil","LAIR1",1,0.053122306280975,0.0175566318289571,-0.0355656744520179,-0.0355656744520179
"Fibroblast / stellate -> Endothelial","ADGRG",7,0.207291230800552,0.171869952817347,-0.0354212779832048,0.00729121661581914
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","PTN",3,0.121171204464893,0.0858115862599183,-0.0353596182049751,0.000210354739415726
"Fibroblast / stellate -> Endothelial","PECAM2",1,0.0788800778556458,0.0436700078846095,-0.0352100699710363,-0.0352100699710363
"Kupffer cell -> Inflammatory neutrophil","COLLAGEN",7,0.0546194041134987,0.019425476066105,-0.0351939280473937,0.00386076922267809
"Fibroblast / stellate -> Kupffer cell","ncWNT",1,0.0483965376030159,0.0133673205858059,-0.0350292170172099,-0.0350292170172099
"Kupffer cell -> Neutrophil","ApoB",1,0.052789545632304,0.0183100829942726,-0.0344794626380314,-0.0344794626380314
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","TENASCIN",3,0.0888018876488179,0.123108677997262,0.0343067903484442,0.103813541974004
"Neutrophil -> Endothelial","GALECTIN",4,0.215645725996448,0.249870152639837,0.0342244266433893,0.117233094278422
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","VTN",1,0.0439055663892208,0.0780958244760413,0.0341902580868205,0.0341902580868205
"Neutrophil -> Endothelial","PARs",4,0.0738020589691877,0.107706477584929,0.0339044186157415,0.165031711380471
"Inflammatory neutrophil -> Endothelial","FASLG",1,0.022402421486277,0.0561203587803795,0.0337179372941025,0.0337179372941025
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","ANGPTL",9,0.162315128418918,0.128605556510845,-0.0337095719080724,0.0253929222784831
"Fibroblast / stellate -> Endothelial","FN1",3,0.0921419639834481,0.125545620697936,0.0334036567144879,0.0680917306750153
"Kupffer cell -> Neutrophil","COLLAGEN",4,0.051078524178045,0.0177856850866701,-0.0332928390913749,0.000711725629131389
"Fibroblast / stellate -> Kupffer cell","PTN",4,0.129021334396424,0.096170338280577,-0.032850996115847,0.0180389951818487
"Kupffer cell -> Neutrophil","CCL",12,0.545960593205281,0.513260483030927,-0.0327001101743538,0.206115593465396
"Neutrophil -> Endothelial","SPP1",1,0.0767235026588514,0.109286590891269,0.0325630882324175,0.0325630882324175
"Monocyte-derived macrophage / DC-like -> NK cell","CCL",13,0.23870976433051,0.206817134954685,-0.0318926293758249,0.0594706510967391
"Fibroblast / stellate -> Kupffer cell","SELPLG",1,0.0618681767200491,0.0937196343518815,0.0318514576318323,0.0318514576318323
"Kupffer cell -> Neutrophil","GRN",1,0.47667570564641,0.508327977731976,0.0316522720855657,0.0316522720855657
"Fibroblast / stellate -> Endothelial","IGFBP",1,0.149319024774083,0.117804243645675,-0.0315147811284081,-0.0315147811284081
"Activated neutrophil -> Endothelial","SELPLG",3,0.275870290014356,0.307326487133408,0.0314561971190521,0.121138814486542
"Kupffer cell -> Endothelial","VEGF",3,0.0423287308995631,0.0735393540821796,0.0312106231826166,0.0497572833441248
"Fibroblast / stellate -> Endothelial","EPHB",3,0.0611433081856264,0.0299684459390798,-0.0311748622465466,0.00639796597636581
"Fibroblast / stellate -> Endothelial","ICAM",2,0.0176214302637782,0.048300255801444,0.0306788255376658,0.0517726943066877
"Kupffer cell -> Neutrophil","CDH5",1,0.0428834905053271,0.0124988241475177,-0.0303846663578094,-0.0303846663578094
"Activated neutrophil -> Endothelial","ANGPTL",1,0,0.0300972344163334,0.0300972344163334,0.0300972344163334
