"source","target","ligand","receptor","pathway_name","annotation","score_control","exprL_control","exprR_control","score_apap","exprL_apap","exprR_apap","delta_score","max_score","axis"
"Fibroblast / stellate","Kupffer cell","Col6a2","Cd44","COLLAGEN","ECM-Receptor",1.81418466004081,1.26453267483292,1.43466807631563,1.55789872775933,1.12359763233125,1.38652724332197,-0.256285932281475,1.81418466004081,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Kupffer cell","Apoa1","Abca1","ApoA","Cell-Cell Contact",0.795093305049034,0.73625704529956,1.0799126611081,0.542861993124283,0.320041461055962,1.69622395589976,-0.252231311924751,0.795093305049034,"Fibroblast / stellate -> Kupffer cell"
"Activated neutrophil","Endothelial","Sell","Podxl","SELL","Cell-Cell Contact",0.848951878687749,1.91464617986426,0.44339883139554,0.597181174834241,1.69106437651351,0.353139231792853,-0.251770703853507,0.848951878687749,"Activated neutrophil -> Endothelial"
"Fibroblast / stellate","Kupffer cell","Col6a6","Cd44","COLLAGEN","ECM-Receptor",0.337577993904811,0.235300415111867,1.43466807631563,0.589195384564339,0.42494324392263,1.38652724332197,0.251617390659527,0.589195384564339,"Fibroblast / stellate -> Kupffer cell"
"Monocyte-derived macrophage / DC-like","T cell","Clec2d","Klrb1c","CLEC","Cell-Cell Contact",0.672708033704176,0.727150780284768,0.925128669243439,0.421578690372431,0.527729854792927,0.798853213521249,-0.251129343331744,0.672708033704176,"Monocyte-derived macrophage / DC-like -> T cell"
"Monocyte-derived macrophage / DC-like","NK cell","Clec2i","Klrb1c","CLEC","Cell-Cell Contact",0.674591635302288,0.341839829712397,1.97341437909634,0.423854838136471,0.254546637436664,1.66513626895556,-0.250736797165817,0.674591635302288,"Monocyte-derived macrophage / DC-like -> NK cell"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a6","Cd44","COLLAGEN","ECM-Receptor",0.215758248758505,0.235300415111867,0.916948015820241,0.460707358941496,0.42494324392263,1.08416209818688,0.24494911018299,0.460707358941496,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Thy1","Adgre5","ADGRE","Cell-Cell Contact",0.58238041815373,0.389698081832175,1.4944400429575,0.339679505099117,0.224585758301269,1.51247126117167,-0.242700913054614,0.58238041815373,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Kupffer cell","Ccl4","Ccr5","CCL","Secreted Signaling",0.33533632685867,0.355086686534273,0.944378766018036,0.0947168688052614,0.335953863751141,0.28193415532623,-0.240619458053409,0.33533632685867,"Fibroblast / stellate -> Kupffer cell"
"Kupffer cell","Endothelial","Cdh5","Cdh5","CDH5","Cell-Cell Contact",1.69796086133999,0.955380503680357,1.77726136842759,1.45770304483063,0.928760841407031,1.56951389404217,-0.240257816509354,1.69796086133999,"Kupffer cell -> Endothelial"
"Monocyte-derived macrophage / DC-like","NK cell","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.559359338157014,0.539910507075378,1.03602232374952,0.322467549052963,0.288762141909433,1.11672377452478,-0.236891789104052,0.559359338157014,"Monocyte-derived macrophage / DC-like -> NK cell"
"Monocyte-derived macrophage / DC-like","NK cell","H2-D1","Cd8a","MHC-I","Cell-Cell Contact",1.22154750741104,3.57280286039876,0.341901737974622,0.986399410142294,3.64841591204985,0.270363750712865,-0.235148097268743,1.22154750741104,"Monocyte-derived macrophage / DC-like -> NK cell"
"Inflammatory neutrophil","Endothelial","App","Cd74","APP","Cell-Cell Contact",1.10852551652876,0.749445112553985,1.47912835504536,1.34290321147354,0.660892462552385,2.03195419461618,0.23437769494478,1.34290321147354,"Inflammatory neutrophil -> Endothelial"
"Fibroblast / stellate","Kupffer cell","Mdk","Lrp1","MK","Secreted Signaling",0.606603902903769,0.357590768249683,1.69636343206773,0.840813152079926,0.471764148499969,1.78227437322949,0.234209249176158,0.840813152079926,"Fibroblast / stellate -> Kupffer cell"
"Kupffer cell","Inflammatory neutrophil","Spp1","Cd44","SPP1","Secreted Signaling",1.45594713340832,0.789442310771648,1.84427299315284,1.22228768126391,0.775584562297521,1.57595669212796,-0.233659452144411,1.45594713340832,"Kupffer cell -> Inflammatory neutrophil"
"Kupffer cell","Endothelial","Ccl6","Ccr1","CCL","Secreted Signaling",0.0665275564614139,2.4080777196002,0.0276268311109406,0.298952098217506,2.74121488992137,0.109058249798899,0.232424541756092,0.298952098217506,"Kupffer cell -> Endothelial"
"Fibroblast / stellate","Endothelial","App","Sorl1","APP","Cell-Cell Contact",0.128043699735536,1.94126929343418,0.0659587519199984,0.359901638664495,2.08352256117727,0.172737096958114,0.231857938928959,0.359901638664495,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Endothelial","Thbs3","Cd36","THBS","ECM-Receptor",0.480074772649419,0.278496795970041,1.72380716617316,0.249063006337633,0.22546660049073,1.10465588160528,-0.231011766311786,0.480074772649419,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Icam1","Itgal","ICAM","Cell-Cell Contact",0.133829391647081,0.21721484498164,0.616115310435584,0.364756195961405,0.567814099686952,0.64238664760615,0.230926804314324,0.364756195961405,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col4a5","Cd44","COLLAGEN","ECM-Receptor",0.352260086951313,0.384165820606749,0.916948015820241,0.58068736943566,0.535609361742849,1.08416209818688,0.228427282484347,0.58068736943566,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Lama2","Cd44","LAMININ","ECM-Receptor",0.548095560509381,0.597738967807342,0.916948015820241,0.770422603665162,0.710615695709707,1.08416209818688,0.222327043155781,0.770422603665162,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Monocyte-derived macrophage / DC-like","T cell","H2-DMa","Cd4","MHC-II","Cell-Cell Contact",0.658542300873467,2.12522517680547,0.309869423748947,0.438772619548541,2.10416137426926,0.208526125854258,-0.219769681324925,0.658542300873467,"Monocyte-derived macrophage / DC-like -> T cell"
"Fibroblast / stellate","Endothelial","Thbs1","Cd36","THBS","ECM-Receptor",0.447326137053577,0.259498942707518,1.72380716617316,0.230399797250074,0.208571557067399,1.10465588160528,-0.216926339803503,0.447326137053577,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Mdk","Ncl","MK","Secreted Signaling",0.559287181615431,0.357590768249683,1.56404256282398,0.773928655911692,0.471764148499969,1.6404990891582,0.214641474296261,0.773928655911692,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Col6a3","Sdc4","COLLAGEN","ECM-Receptor",0.110566866126584,0.743050463064756,0.148801288233566,0.32419077408397,0.793950774891006,0.408326037755269,0.213623907957386,0.32419077408397,"Fibroblast / stellate -> Kupffer cell"
"Kupffer cell","Neutrophil","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",0.126015898349358,3.65526895045762,0.0344751371396573,0.33543831993618,3.80948744160513,0.0880533995919522,0.209422421586822,0.33543831993618,"Kupffer cell -> Neutrophil"
"Fibroblast / stellate","Kupffer cell","Cd55","Adgre5","ADGRE","Cell-Cell Contact",0.601616151176667,0.402569613957926,1.4944400429575,0.392378637314634,0.259428821814881,1.51247126117167,-0.209237513862033,0.601616151176667,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Kupffer cell","Tnxb","Sdc4","TENASCIN","ECM-Receptor",0.125982258296101,0.84664763182932,0.148801288233566,0.334871221742936,0.820107440573363,0.408326037755269,0.208888963446835,0.334871221742936,"Fibroblast / stellate -> Kupffer cell"
"Monocyte-derived macrophage / DC-like","NK cell","H2-K1","Cd8a","MHC-I","Cell-Cell Contact",1.02563485763397,2.99979422073046,0.341901737974622,0.816822766612006,3.02119927119779,0.270363750712865,-0.208812091021963,1.02563485763397,"Monocyte-derived macrophage / DC-like -> NK cell"
"Kupffer cell","Neutrophil","Ccl9","Ccr1","CCL","Secreted Signaling",0.844216211491366,0.744568522910176,1.13383279780847,1.05033180495676,1.04601396353487,1.00412790036502,0.206115593465396,1.05033180495676,"Kupffer cell -> Neutrophil"
