sample_id,group,celltype_manual,n_cells,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
con2,Control,Cytotoxic T / NK-like,523,-0.2204987632718621,0.20489304654633725,-0.08035878466740477,0.16993805432900436,0.6847175947084337,-0.061829570064350595,-0.07835213284778184,-0.08124743647291141,-0.060551760253943376,-0.0509283459528174,0.8116307326072184,-0.11052964796871831
con2,Control,Endothelial,864,-0.241212685673159,-0.07875194873677645,0.0011756522753583807,0.11524440186841911,0.698160232806324,-0.05542181047843349,0.3602602246689448,-0.07355961820175813,0.6543511281054635,0.00825644715100352,-0.2823036560706282,0.09708705417983972
con2,Control,Fibroblast / stellate,65,-0.2746699505183764,-0.11812853085782056,-0.08309475686189371,0.03786389990370536,0.5847259844590881,-0.034843230301711194,0.23908819512320578,0.7980645202871158,-0.0341540853226744,0.043055517253126806,-0.23252584832520634,-0.05715452887845768
con2,Control,Inflammatory neutrophil,906,1.7508177945869101,0.22546392632219914,0.6122748529784912,0.1442408218630997,0.6891316905560454,-0.024559140399265694,-0.0552699673887439,0.10672925463491556,-0.05245632895401469,0.23689728633882812,-0.18395106291965882,0.059328714234879364
con2,Control,Kupffer cell,301,-0.10131370456366992,0.08277825067169654,0.10173530573787407,0.16899095801311556,1.0733285665720174,2.0544351291671794,0.4321726231365452,0.017367973429169063,0.13137982704583162,0.494909156950434,-0.2302583481142737,1.134691060361437
con2,Control,Monocyte-derived macrophage / DC-like,623,-0.05430204252377757,0.29123169049964076,0.1261278140835479,0.22397533977719325,1.5096069426297218,0.2654686406045957,0.08213633761386335,0.08898907902383651,-0.09262871468712737,0.49406174325165436,-0.41388808165321384,0.3838413828347477
con2,Control,NK cell,1000,-0.03929761505401571,0.3634106190459187,-0.06537253074044085,-0.08521572290066473,0.8015080518569317,-0.05047742152358656,-0.07465876916693943,-0.09020404976392012,-0.055983968257986245,-0.07040944785535655,1.0781654127726539,-0.11443478548810175
con2,Control,Neutrophil,63,2.047719373842111,-0.052812749448844655,-0.010267148687065611,0.03402765333522682,0.6257875443222621,-0.03989334264573513,-0.041585467659934205,0.17126470970692126,-0.07896047384579706,0.43424881727494047,-0.13068593738451262,0.2682163533700742
con2,Control,T cell,4165,-0.28262702556722014,-0.0683742815949586,-0.06639253275679838,-0.08579809798598546,0.6900641764905873,-0.047024575037668444,-0.06395319359701289,-0.11000268209794162,-0.05276596004889209,-0.07316784536068843,0.3395679299693486,-0.11302902386394316
con3,Control,Activated neutrophil,25,1.3214200796970714,-0.0464269019309365,0.39717563107494314,0.021920030490855957,1.4336016467656199,-0.059009296153116855,-0.08623235043643973,0.047248417416525336,-0.03596172027257613,0.24551196168359676,-0.4795923061197633,0.002207215712555279
