sample_id,group,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
AP-300,APAP,Monocyte-derived macrophage,96,-0.6036015779716234,1.4576779560281463,0.017936096356978314,0.61710287897012,-0.13960730342907846,-0.42741354340060395,-0.22438944039407216,0.3585022382952108,-0.14078027320465328,0.00593683894455146,-0.15638981374646016,0.06304346531277442,0.7673527104094217,-0.517787525568391,-0.04302632254883734,0.1427526780541792,-0.0509758229085922,0.3676023043483919,-0.03449165051502336,-0.13522759889771285
AP-300,APAP,Neutrophil with erythroid/ambient signal,3,-0.442233311541842,0.5864218313041365,0.16259537526727363,0.3340013741935538,1.2983868012527326,0.24958489067875259,-0.29208276329953725,0.5301962991239427,1.0328507643854354,0.07039966645864905,-0.14919035558397445,-0.10984478755949868,0.8496379325009084,-0.36603106296908977,-0.08686067546706006,0.05997120705134017,-0.03380919599849342,0.29571791922273183,0.12006482793915128,-0.10304506430739302
AP-300,APAP,Possible doublet / hepatocyte ambient-contaminated neutrophil,6,-0.4563498997003632,0.18243074511358354,0.45374368857973346,0.5429452009801667,1.1089298507173722,0.5557658542305387,-0.23942883824287245,0.18833698934449566,1.0188527839673405,0.0779226610558161,0.12449137927254848,-0.020797704489432134,0.6013934694637699,-0.3964939367439545,-0.10441905203037684,-0.022669928570130192,-0.051561957739934335,0.2168440225038029,0.11109286076119729,-0.1645406618184744
AP-300,APAP,Rare injury-associated macrophage-like cells,2,1.097845742808733,0.0781678236810685,0.8402296677968315,0.7302099238384904,-0.2380937600409631,0.6351334620448867,-0.38595303084520793,0.06371174203384883,0.1784646012297817,0.5047550794545019,0.34826872280258814,-0.13555157326161188,0.6282708611370171,1.1760419266567241,0.31177795762090066,0.17736650149252,0.23167497831803846,0.5047277997313857,-0.047854738547116193,0.3943061188612247
AP-300,APAP,Resident Kupffer cell,201,2.2309986332940253,0.14259012463841847,-0.02135000682634658,1.4073291959776595,-0.19960576191930104,-0.21373053187493393,-0.00849601381619486,0.8085275064916613,-0.16709222059564968,-0.054642144360058174,-0.09368797901956336,0.09641426917705243,1.088491826305985,2.1561080988268935,0.46740219380920645,-0.05163000906947695,0.30495359650874204,0.44580972143300135,-0.06893388934748541,1.113556914073984
AP-300-2,APAP,Activated inflammatory neutrophil,173,-0.46433000578307515,-0.3733073060337222,1.6363923659132587,0.20818368690232103,1.1021623736709054,1.7207495471602094,-0.15381078705471213,0.03297866832412342,1.4949069251941403,0.41975305744485797,0.6688783481570472,-0.0904790831129755,0.5992304371330806,-0.4010745622639877,-0.06412158589504431,0.011738885815678697,0.005880440088182808,0.0727375896690527,-0.03612548673042812,-0.1632559707772123
AP-300-2,APAP,Activated neutrophil,308,-0.5681360925891908,-0.46485602254238645,0.6254774471788745,-0.06725926148905087,1.2169877005964402,0.6542189978980394,-0.23046983805398893,1.4268765675121238,1.188838149888474,0.011141695505056575,0.17421094046043772,-0.1307560301450202,1.3466473244977755,-0.4975457013320948,-0.09347426323710226,-0.051988233617385256,-0.024047036219283967,-0.0436734805010527,-0.11008887132815727,-0.3518869475504135
AP-300-2,APAP,Antigen-presenting macrophage / Mo-Mac,321,0.03499172854514895,0.6087267374803551,0.25831441877631706,1.0234978587705348,-0.19741448880885426,-0.050334399036642656,0.1199433280142061,1.7722108703961896,-0.03489086493328765,0.2233445153613816,-0.06203957082074988,0.20769844088432227,1.5938232571226036,0.0018127854821879043,0.12047372085455835,0.05735579617694612,-0.03570017332078494,0.3735605965498991,-0.11220836600540948,0.2997602263357191
AP-300-2,APAP,Antigen-presenting myeloid with lymphoid-like signal,55,-0.3791916785955909,0.32171726754484814,0.039144170560249,0.4029910614587316,-0.2497720536728972,-0.3253309468052426,-0.0952537076917211,1.5933934987238778,-0.1338233349225314,0.16664534894143862,-0.20583555102411782,0.015145787459466473,1.4829747694697886,-0.35873412922955006,-0.024105975134078233,-0.036183719398607046,-0.06914928160020173,0.16560188888345134,0.5889065520600362,-0.11033162224333296
AP-300-2,APAP,CCR7+ DC-like antigen-presenting myeloid,10,-0.5862924035161403,-0.690853586494389,-0.03170120438628074,-0.15013356486738721,-0.1908179289084945,-0.7422104721308713,-0.012932004091469806,2.746651626329843,-0.27530051183340754,-0.008933659475952765,-0.09850317974283074,0.010448051416685561,2.270684825218202,-0.5344060093003065,-0.1032624831241461,-0.07008191229410655,-0.0642868566018583,0.14570799228215195,-0.07308448914868906,-0.35611033625534244
